Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover(₹ Lac.),No. of Trades
506910,JAYSYN,X,64.10,67.70,64.10,67.35,2848,1.91,49
523007,ANSALBU,X,73.44,79.27,73.44,73.84,2569,1.91,44
523792,MAZDALTD,T,871.30,912.00,870.25,890.10,213,1.90,16
524480,RIDDHI,X,344.00,349.90,333.00,338.05,562,1.90,21
535958,ESSENTIA,T,6.09,6.37,6.09,6.37,30190,1.90,45
526859,ISFL,X,1.82,1.89,1.76,1.81,103513,1.89,210
539031,SETFBSE100,A,209.90,214.00,209.90,210.89,893,1.89,33
538401,METSL,X,66.34,67.67,63.01,64.49,2918,1.89,50
543715,IEL,T,10.26,10.26,10.26,10.26,18434,1.89,63
511509,VIVOBIOT,X,29.95,29.95,28.10,28.13,6566,1.89,81
526301,MEDINOV,XT,26.50,26.50,24.00,24.00,7807,1.88,39
543255,INFRABEES,B,597.00,600.93,593.97,599.50,315,1.88,36
538365,INCREDIBLE,B,24.50,24.50,24.30,24.30,7664,1.88,18
511571,SODFC,XT,243.85,243.85,243.85,243.85,771,1.88,10
503804,SHRIDINE,X,502.75,509.95,500.00,502.15,374,1.88,16
523483,PACIFICI,X,131.80,134.60,131.65,131.75,1414,1.88,40
543281,SUVIDHAA,B,3.89,4.10,3.85,3.87,47834,1.87,137
543595,EPBIO,M,186.00,187.00,186.00,187.00,1000,1.87,2
540980,YSL,X,13849.80,13849.80,12805.05,13222.00,14,1.87,11
501343,MOTOGENFIN,B,35.00,36.05,32.00,33.40,5449,1.87,72
530853,HIPOLIN,XT,92.75,92.75,85.30,88.00,2114,1.86,49
502589,VAPIPPR,XT,109.90,110.25,99.75,104.95,1791,1.86,27
526173,ANDREWYU,B,23.50,23.89,23.50,23.52,7819,1.85,69
526666,BIL,T,233.70,234.55,224.15,224.90,818,1.85,47
524522,LAFFANSQ,X,39.00,41.85,39.00,40.01,4558,1.85,29
531591,BAMPSL,XT,10.19,10.19,9.69,9.69,18997,1.85,66
540386,ONTIC,XT,0.63,0.64,0.58,0.63,297290,1.85,143
531144,ELFORGE,XT,10.50,11.00,10.00,10.27,16940,1.83,41
500231,UMANGDAIR,B,63.48,63.90,61.17,61.25,2915,1.83,102
512441,ENBETRD,XT,15.32,15.32,15.32,15.32,11965,1.83,27
521137,EUREKAI,XT,3.97,4.36,3.97,4.16,45023,1.83,154
519471,AMBARPIL,XT,227.55,228.00,207.10,226.50,834,1.83,43
531841,INDUSFINL,X,21.77,24.05,21.77,22.01,8266,1.82,46
